id,conversation_id,utterance_id,speaker,utterance,tokens,pos_tags,has_code_switch,spanish_percentage,generation_strategy,topic
0,0,0,Speaker A,I think I need to go to the store. I'm out of azúcar.,I|think|I|need|to|go|to|the|store.|I'm|out|of|azúcar,EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|ES,yes,7.7,controlled_switch,shopping trip
1,0,1,Speaker A,Oh no! ¿De verdad? I need to go too. I need to get more coffee.,Oh|no!|¿De|verdad?|I|need|to|go|too.|I|need|to|get|more|coffee.,EN|EN|ES|ES|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|EN,yes,13.3,controlled_switch,shopping trip
2,0,2,Speaker A,"Perfect! We can go together. Are you ready now, or más tarde?","Perfect!|We|can|go|together.|Are|you|ready|now,|or|más|tarde",EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|ES|ES,yes,16.7,controlled_switch,shopping trip
3,0,3,Speaker A,I can go now! Just let me grab my bolsa. What else do you need besides sugar?,I|can|go|now!|Just|let|me|grab|my|bolsa|What|else|do|you|need|besides|sugar?,EN|EN|EN|EN|EN|EN|EN|EN|EN|ES|EN|EN|EN|EN|EN|EN|EN,yes,5.9,controlled_switch,shopping trip
4,0,4,Speaker A,I also need huevos and maybe some fruit. ¿Qué más necesitas tú?,I|also|need|huevos|and|maybe|some|fruit.|¿Qué|más|necesitas|tú?,EN|EN|EN|ES|EN|EN|EN|EN|ES|ES|ES|ES,yes,41.7,controlled_switch,shopping trip
5,0,5,Speaker A,"Besides coffee, I think I'm going to get some pan. We can make toast tomorrow.","Besides|coffee,|I|think|I'm|going|to|get|some|pan|We|can|make|toast|tomorrow.",EN|EN|EN|EN|EN|EN|EN|EN|EN|ES|EN|EN|EN|EN|EN,yes,6.7,controlled_switch,shopping trip
6,0,6,Speaker A,"That sounds good! Oh, and I almost forgot, necesito butter too.","That|sounds|good!|Oh,|and|I|almost|forgot,|necesito|butter|too.",EN|EN|EN|EN|EN|EN|EN|EN|ES|EN|EN,yes,9.1,controlled_switch,shopping trip
7,0,7,Speaker A,"Okay, entonces we have sugar, eggs, fruit, coffee, bread, and butter.","Okay,|entonces|we|have|sugar,|eggs,|fruit,|coffee,|bread,|and|butter.",EN|ES|EN|EN|EN|EN|EN|EN|EN|EN|EN,yes,9.1,controlled_switch,shopping trip
8,0,8,Speaker A,"Yep, I think that's everything. ¡Vamos!","Yep,|I|think|that's|everything.|¡Vamos!",EN|EN|EN|EN|EN|ES,yes,16.7,controlled_switch,shopping trip
9,0,9,Speaker A,"¡Sí! Vamos. Hopefully, the store isn't too crowded today.","¡Sí!|Vamos|Hopefully,|the|store|isn't|too|crowded|today.",ES|ES|EN|EN|EN|EN|EN|EN|EN,yes,22.2,controlled_switch,shopping trip
10,0,10,Speaker A,I hope so too. I hate when there are long colas at the checkout.,I|hope|so|too.|I|hate|when|there|are|long|colas|at|the|checkout.,EN|EN|EN|EN|EN|EN|EN|EN|EN|EN|ES|EN|EN|EN,yes,7.1,controlled_switch,shopping trip
11,0,11,Speaker A,Me too! Crucemos los dedos!,Me|too!|Crucemos|los|dedos,EN|EN|ES|ES|ES,yes,60.0,controlled_switch,shopping trip
